Kmax,Ku,n,halfmax,Vhalf,slope
712100,0.0001795,0.9343,24420000,-14.66,0.02916
26750000,0.0001483,0.8436,4.13e+08,-67.5,0.06477
801300,0.0001706,1.016,24850000,-72.57,0.03225
9883000,0.0001371,0.9805,378600000,-40.66,0.0261
148700,0.000177,0.8687,2588000,-67.27,0.05746
992400,0.0001756,0.9373,26600000,-58.6,0.03731
2685000,0.0001722,0.8579,54070000,-57.53,0.04966
1221000,0.0001545,1.04,49470000,-59.47,0.02468
3697000,0.0001789,1.08,167100000,-69.13,0.02212
2056000,0.0001671,0.9752,67490000,-63.43,0.03046
